자치구,살인,강도,강간,절도,폭력,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율
강남구,13,21,449,3850,4284,76.92307692307693,85.71428571428571,77.728285077951,42.857142857142854,86.48459383753502
강동구,4,6,156,2366,2712,75.0,100.0,78.84615384615384,33.34742180896027,82.89085545722715
강북구,7,14,153,1434,2649,100.0,92.85714285714286,82.35294117647058,43.09623430962343,88.63722159305398
관악구,9,12,320,2706,3298,88.88888888888889,100.0,69.0625,30.56171470805617,80.10915706488781
광진구,4,14,240,3026,2625,100.0,100.0,91.66666666666666,42.2009253139458,83.04761904761905
구로구,8,15,281,2335,3007,75.0,73.33333333333333,58.362989323843415,38.07280513918629,80.87795144662454
금천구,3,6,151,1567,2054,100.0,100.0,80.79470198675497,56.66879387364391,86.46543330087634
노원구,10,7,197,2193,2723,100.0,100.0,61.42131979695431,36.52530779753762,85.53066470804261
도봉구,3,9,102,1063,1487,100.0,100.0,100.0,44.96707431796801,87.62609280430397
동대문구,5,13,173,1981,2548,100.0,100.0,84.39306358381504,41.090358404846036,87.40188383045526
동작구,5,9,285,1865,1910,100.0,55.55555555555556,48.771929824561404,35.442359249329755,83.0890052356021
마포구,8,14,294,2555,2983,100.0,71.42857142857143,84.01360544217688,31.81996086105675,84.44518940663761
서대문구,2,5,154,1812,2056,100.0,80.0,80.51948051948052,40.728476821192054,83.21984435797665
서초구,8,9,393,2635,2399,75.0,66.66666666666666,63.358778625954194,41.40417457305503,87.45310546060858
성동구,4,9,126,1607,1612,100.0,88.88888888888889,94.44444444444444,37.14996888612321,86.53846153846155
성북구,5,5,150,1785,2209,100.0,80.0,82.66666666666667,41.51260504201681,83.97464916251698
송파구,11,13,220,3239,3295,90.9090909090909,76.92307692307693,80.9090909090909,34.85643717196666,84.55235204855842
양천구,10,19,382,3986,5716,100.0,84.21052631578947,77.4869109947644,48.469643753135976,83.06508047585724
영등포구,14,22,295,2964,3572,85.71428571428571,90.9090909090909,62.03389830508475,32.99595141700405,82.89473684210526
용산구,5,14,194,1557,2050,100.0,100.0,89.17525773195877,37.70070648683366,83.1219512195122
은평구,3,9,166,1914,2653,100.0,66.66666666666666,84.93975903614458,37.14733542319749,86.92046739540143
종로구,6,11,211,2184,2293,83.33333333333334,81.81818181818183,76.30331753554502,38.324175824175825,84.21282163105103
중구,3,9,170,2548,2224,66.66666666666666,66.66666666666666,65.29411764705883,33.712715855573,88.3093525179856
중랑구,13,11,187,2135,2847,92.3076923076923,81.81818181818183,79.14438502673798,38.82903981264637,84.54513523006673
