자치구,살인,강도,강간,절도,폭력,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율,범죄,검거,인구수,CCTV
강남구,0.9166666666666666,0.9411764705882353,0.9999999999999998,0.9534724598015737,0.6613856703712462,76.92307692307693,85.71428571428571,77.728285077951,42.857142857142854,86.48459383753502,4.472701267427722,369.7073844099915,570500.0,2780
강동구,0.16666666666666666,0.05882352941176466,0.1556195965417867,0.4457748888128634,0.28966658784582644,75.0,100.0,78.84615384615384,33.34742180896027,82.89085545722715,1.116551269278908,370.08443111234124,453233.0,773
강북구,0.41666666666666663,0.5294117647058822,0.14697406340057634,0.12692439274717754,0.2747694490423268,100.0,92.85714285714286,82.35294117647058,43.09623430962343,88.63722159305398,1.4947463365626295,406.94353993629085,330192.0,748
관악구,0.5833333333333334,0.41176470588235287,0.6282420749279538,0.5620937393089291,0.42823362497044226,88.88888888888889,100.0,69.0625,30.56171470805617,80.10915706488781,2.6136674784230114,368.6222606618329,525515.0,1496
광진구,0.16666666666666666,0.5294117647058822,0.39769452449567716,0.6715703044816969,0.26909434854575554,100.0,100.0,91.66666666666666,42.2009253139458,83.04761904761905,2.0344376088956784,416.91521102823145,372164.0,707
구로구,0.5,0.588235294117647,0.515850144092219,0.43516934656175155,0.35942303144951526,75.0,73.33333333333333,58.362989323843415,38.07280513918629,80.87795144662454,2.3986778162211326,325.64707924298756,447874.0,1561
금천구,0.08333333333333334,0.05882352941176466,0.14121037463976943,0.17242559014710912,0.13407424923149686,100.0,100.0,80.79470198675497,56.66879387364391,86.46543330087634,0.5898670767634735,423.92892916127516,255082.0,1015
노원구,0.6666666666666666,0.11764705882352938,0.2737752161383285,0.3865891207663359,0.2922676755734216,100.0,100.0,61.42131979695431,36.52530779753762,85.53066470804261,1.736945737968282,383.4772923025345,569384.0,1265
도봉구,0.08333333333333334,0.23529411764705882,0.0,0.0,0.0,100.0,100.0,100.0,44.96707431796801,87.62609280430397,0.31862745098039214,432.593167122272,348646.0,485
동대문구,0.24999999999999997,0.4705882352941176,0.20461095100864551,0.3140608963393773,0.25088673445258924,100.0,100.0,84.39306358381504,41.090358404846036,87.40188383045526,1.4901468170947298,412.8853058191163,369496.0,1294
동작구,0.24999999999999997,0.23529411764705882,0.5273775216138328,0.2743756414642491,0.10002364625206905,100.0,55.55555555555556,48.771929824561404,35.442359249329755,83.0890052356021,1.3870709269772097,322.8588498650488,412520.0,1091
마포구,0.5,0.5294117647058822,0.5533141210374639,0.5104344851180294,0.353747930952944,100.0,71.42857142857143,84.01360544217688,31.81996086105675,84.44518940663761,2.4469083018143194,371.7073271384427,389649.0,574
서대문구,0.0,0.0,0.1498559077809798,0.25624358535750935,0.13454717427287777,100.0,80.0,80.51948051948052,40.728476821192054,83.21984435797665,0.5406466674113669,384.46780169864917,327163.0,962
서초구,0.5,0.23529411764705882,0.8386167146974062,0.5378036264112214,0.21565381886970914,75.0,66.66666666666666,63.358778625954194,41.40417457305503,87.45310546060858,2.3273682776253954,333.88272532628446,450310.0,1930
성동구,0.16666666666666666,0.23529411764705882,0.06916426512968299,0.18611016079370513,0.029557815086308836,100.0,88.88888888888889,94.44444444444444,37.14996888612321,86.53846153846155,0.6867930253234225,407.02176375791805,311244.0,1062
성북구,0.24999999999999997,0.0,0.13832853025936598,0.24700650017105708,0.1707259399385198,100.0,80.0,82.66666666666667,41.51260504201681,83.97464916251698,0.8060609703689429,388.15392087120046,461260.0,1464
송파구,0.75,0.4705882352941176,0.340057636887608,0.7444406431748204,0.42752423740837076,90.9090909090909,76.92307692307693,80.9090909090909,34.85643717196666,84.55235204855842,2.732610752764917,368.1500479617838,667483.0,618
양천구,0.6666666666666666,0.8235294117647058,0.8069164265129682,0.9999999999999999,1.0,100.0,84.21052631578947,77.4869109947644,48.469643753135976,83.06508047585724,4.297112504944341,393.2321615395471,479978.0,2034
영등포구,0.9999999999999999,1.0,0.5561959654178674,0.6503592199794731,0.4930243556396311,85.71428571428571,90.9090909090909,62.03389830508475,32.99595141700405,82.89473684210526,3.6995795410369716,354.54796318757064,402985.0,904
용산구,0.24999999999999997,0.5294117647058822,0.2651296829971181,0.16900444748546017,0.13312839914873498,100.0,100.0,89.17525773195877,37.70070648683366,83.1219512195122,1.3466742943371957,409.99791543830463,244203.0,1624
은평구,0.08333333333333334,0.23529411764705882,0.18443804034582129,0.2911392405063291,0.27571529912508874,100.0,66.66666666666666,84.93975903614458,37.14733542319749,86.92046739540143,1.0699200309576313,375.67422852141016,494388.0,1873
종로구,0.33333333333333337,0.35294117647058826,0.31412103746397696,0.3835100923708519,0.19058879167651932,83.33333333333334,81.81818181818183,76.30331753554502,38.324175824175825,84.21282163105103,1.5744944313152698,363.9918301422871,162820.0,1002
중구,0.08333333333333334,0.23529411764705882,0.19596541786743515,0.5080396852548751,0.1742728777488768,66.66666666666666,66.66666666666666,65.29411764705883,33.712715855573,88.3093525179856,1.196905431851579,320.6495193539508,133240.0,671
중랑구,0.9166666666666666,0.35294117647058826,0.24495677233429397,0.36674649332877174,0.32158902813904,92.3076923076923,81.81818181818183,79.14438502673798,38.82903981264637,84.54513523006673,2.2029001369393604,376.6444341953252,414503.0,660
